Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,7,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00406802056546152
Scenario1,8,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00405174057830671
Scenario1,9,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00402023335758983
Scenario1,10,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00400864978289661
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5635
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5785
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5652
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5707
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5801
Scenario1,6,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5602
Scenario1,7,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5630
Scenario1,8,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5573
Scenario1,9,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5616
Scenario1,10,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,5831
Scenario1,1,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5635
Scenario1,2,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5789
Scenario1,3,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5657
Scenario1,4,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5709
Scenario1,5,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5802
Scenario1,6,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5605
Scenario1,7,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5632
Scenario1,8,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5584
Scenario1,9,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5627
Scenario1,10,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,5835
Scenario1,1,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5635
Scenario1,2,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5785
Scenario1,3,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5652
Scenario1,4,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5707
Scenario1,5,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5801
Scenario1,6,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5602
Scenario1,7,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5630
Scenario1,8,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5573
Scenario1,9,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5616
Scenario1,10,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,5831
Scenario1,1,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,2,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,3,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,4,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,5,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,6,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,7,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,8,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,9,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,10,Path,Path1,[Flow],Throughput,VolumeFlowIn,Total,0
Scenario1,1,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,2,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,3,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,4,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,5,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,6,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,7,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,8,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,9,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,10,Path,Path1,[Flow],Throughput,VolumeFlowOut,Total,0
Scenario1,1,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,2,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,3,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,4,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,5,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,6,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,7,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,8,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,9,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,10,Path,Path1,[Flow],Throughput,WeightFlowIn,Total,0
Scenario1,1,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,2,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,3,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,4,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,5,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,6,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,7,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,8,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,9,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,10,Path,Path1,[Flow],Throughput,WeightFlowOut,Total,0
Scenario1,1,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,2,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,3,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,4,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,5,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,6,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,7,Path,Path1,[Object],Costs,TotalCost,Total,0
